def,use
"def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java[language=FILE]//XxlJobInfo/glueRemark[varType=String,language=JAVA]","use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobInfoMapper.xml[language=FILE]//mapper/insert[parameterType=com.xxl.job.admin.core.model.XxlJobInfo,keyProperty=id,language=XML,queryId=save,useGeneratedKeys=true]//Insert/#{glueRemark}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTableDictTextByKeys/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryTableDictTextByKeys]//Select/Where/${code}[language=SQL]"
def://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobRegistryDao.java[language=FILE]//XxlJobRegistryDao/registrySave/registryGroup/@Param[language=JAVA]//registryGroup[language=ANY],"use://jeecg-boot/jeecg-cloud-module/jeecg-cloud-xxljob/src/main/resources/mybatis-mapper/XxlJobRegistryMapper.xml[language=FILE]//mapper/insert[language=XML,queryId=registrySave]//Insert/#{registryGroup}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryEnableDictItemsByCode/code/@Param[language=JAVA]//code[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/target/classes/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=String,language=XML,resultType=org.jeecg.common.system.vo.DictModel,queryId=queryEnableDictItemsByCode]//Select/Where/=/Where/=/#{code}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-demo/src/main/java/org/jeecg/modules/demo/test/mapper/JeecgDemoMapper.java[language=FILE]//JeecgDemoMapper/queryUserAuth/userId/@Param[language=JAVA]//userId[language=ANY],"use://jeecg-boot/jeecg-boot-module-demo/target/classes/org/jeecg/modules/demo/test/mapper/xml/JeecgDemoMapper.xml[language=FILE]//mapper/select[language=XML,resultType=java.lang.String,queryId=queryUserAuth]//Select/Where/=/#{userId}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/entity/SysThirdAccount.java[language=FILE]//SysThirdAccount/thirdUserId[varType=java.lang.String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysThirdAccountMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysThirdAccount,queryId=selectThirdIdsByUsername]//Select/third_user_id[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java[language=FILE]//SysLogMapper/findTodayVisitCount/dayEnd/@Param[language=JAVA]//dayEnd[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysLogMapper.xml[language=FILE]//mapper/select[language=XML,resultType=long,queryId=findTodayVisitCount]//Select/Where/</#{dayEnd}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDepartRoleMapper.java[language=FILE]//SysDepartRoleMapper/queryDeptRoleByDeptAndUser/userId/@Param[language=JAVA]//userId[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDepartRoleMapper.xml[language=FILE]//mapper/select[language=XML,resultType=org.jeecg.modules.system.entity.SysDepartRole,queryId=queryDeptRoleByDeptAndUser]//Select/Where/Where/=/#{userId}[language=SQL]"
"def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/model/AnnouncementSendModel.java[language=FILE]//AnnouncementSendModel/msgCategory[varType=java.lang.String,language=JAVA]","use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysAnnouncementSendMapper.xml[language=FILE]//mapper/select[parameterType=Object,resultMap=AnnouncementSendModel,language=XML,queryId=getMyAnnouncementSendList]//Select/Where/=/#{announcementSendModel.msgCategory}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysDictMapper.java[language=FILE]//SysDictMapper/queryTreeList/text/@Param[language=JAVA]//text[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysDictMapper.xml[language=FILE]//mapper/select[parameterType=Object,language=XML,resultType=org.jeecg.modules.system.model.TreeSelectModel,queryId=queryTreeList]//Select/${text}[language=SQL]"
def://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/SysUserMapper.java[language=FILE]//SysUserMapper/updateUserDepart/username/@Param[language=JAVA]//username[language=ANY],"use://jeecg-boot/jeecg-boot-module-system/src/main/java/org/jeecg/modules/system/mapper/xml/SysUserMapper.xml[language=FILE]//mapper/update[language=XML,queryId=updateUserDepart]//Update/Where/=/#{username}[language=SQL]"
