JAVA,XML
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.playbackSeekBar,def://app/src/main/res/layout-large-land/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatSeekBar/android:id//@+id\/playbackSeekBar
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.playbackSeekBar,def://app/src/main/res/layout/player_popup.xml//FrameLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatSeekBar/android:id//@+id\/playbackSeekBar
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.playbackSeekBar,def://app/src/main/res/layout/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatSeekBar/android:id//@+id\/playbackSeekBar
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/play_queue_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_stream_playlist_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/dialog_title.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_stream_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_channel_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemAdditionalDetails,def://app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails
use://app/src/main/java/org/schabi/newpipe/settings/tabs/AddTabDialog.java//R.id.tabName,def://app/src/main/res/layout/list_choose_tabs_dialog.xml//RelativeLayout/TextView/android:id//@+id\/tabName
use://app/src/main/java/org/schabi/newpipe/settings/tabs/AddTabDialog.java//R.id.tabName,def://app/src/main/res/layout/list_choose_tabs.xml//androidx.cardview.widget.CardView/RelativeLayout/TextView/android:id//@+id\/tabName
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.resizeTextView,def://app/src/main/res/layout-large-land/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/RelativeLayout/TextView/android:id//@+id\/resizeTextView
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.resizeTextView,def://app/src/main/res/layout/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/RelativeLayout/TextView/android:id//@+id\/resizeTextView
use://app/src/main/java/org/schabi/newpipe/player/VideoPlayer.java//R.id.resizeTextView,def://app/src/main/res/layout/player_popup.xml//FrameLayout/RelativeLayout/RelativeLayout/RelativeLayout/TextView/android:id//@+id\/resizeTextView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_channel_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_playlist_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_comments_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/dialog_title.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/select_channel_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_playlist_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java//R.id.itemTitleView,def://app/src/main/res/layout/select_kiosk_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_playlist_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_stream_grid_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_playlist_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
